well,growth_rate,intercept,time_fit_start,time_fit end
A1,0.94834400944,-6.25493142204,2.19722,4.39444
A2,1.0485854343,-6.67800870744,3.07611,5.05361
A3,0.974526978344,-6.28178305174,2.85639,5.05361
A4,0.976340260966,-6.34546484629,1.53806,5.9325
A5,0.881312621044,-5.91684151569,1.31833,6.15222
A6,1.01703070022,-6.48088719481,1.53806,5.49306
B1,0.923660363059,-6.2008418724,1.31833,5.71278
B2,0.899087626884,-6.12393677131,1.31833,6.15222
B3,0.980815578318,-6.46747632866,1.09861,5.9325
B4,0.963580268666,-6.40225771985,1.09861,5.9325
B5,0.888564474308,-6.07814162726,1.09861,5.9325
B6,0.899055127016,-6.03016421769,1.09861,5.9325
C1,0.847676541519,-6.01557376877,1.31833,5.9325
C2,0.886683693146,-6.37129869844,1.31833,5.71278
C3,0.905574414289,-6.34403097556,1.31833,6.15222
C4,0.781897485257,-6.17707878314,1.31833,6.15222
C5,0.854179967344,-6.53240569554,1.09861,6.15222
C6,0.795278022333,-6.360916475,1.31833,6.81139
D1,0.439846391251,-5.40631907664,1.9775,9.66778
D2,0.502415908366,-5.71227054233,1.31833,6.59167
D3,0.538503100028,-5.9946700378,1.09861,6.81139
D4,0.38774006243,-6.14682470528,0.0,7.25083
D5,0.311480082362,-5.67426136939,0.0,7.25083
D6,0.3150770848,-5.59339897497,0.0,7.91
