well,growth_rate,intercept,time_fit_start,time_fit end
A1,0.444577944846,-10.5015366111,16.5,20.02
A2,0.497341131964,-11.3340463373,16.94,20.02
A3,0.535092002371,-12.1274494895,16.28,20.24
A4,0.579030380934,-12.634313758,14.96,19.14
A5,0.68664910195,-14.8238504924,14.08,19.14
A6,0.614279304508,-13.7613450293,15.84,19.58
B1,0.532884380753,-12.4643368859,16.06,20.02
B2,0.484082284928,-11.551299955,17.38,20.46
B3,0.591592278407,-13.5541886403,16.94,20.02
B4,0.472989601181,-11.2883404133,18.04,20.9
B5,0.522705470501,-12.7787073976,18.7,21.56
B6,0.511555377307,-13.0478307323,18.26,22.22
C1,0.488425153524,-13.8793095281,20.24,23.76
C2,0.353542735653,-10.5250490517,18.92,21.78
C3,0.355249334733,-11.6643131979,19.58,22.88
C4,-0.00384983656847,-4.54642659153,0.0,23.983055555555556
C5,0.0727871736195,-5.07112192558,0.0,23.983055555555556
C6,-0.0490633577538,-3.83321462354,0.0,23.983055555555556
D1,-0.0860221242597,-2.97132661491,0.0,23.983055555555556
D2,0.0869124056813,-5.79895573108,0.0,23.9830555556
D3,0.00920514307399,-4.8209385668,0.0,23.9830555556
D4,-0.0577781434936,-3.87060599297,0.0,23.9830555556
D5,-0.0551940743852,-4.29444708033,0.0,23.9830555556
D6,-0.00843943847387,-4.59392521015,0.0,23.9830555556
