0s,792s,1584s,2376s,3168s,3960s,4753s,5545s,6337s,7129s,7921s,8713s,9505s,10297s,11089s,11881s,12673s,13466s,14258s,15050s,15842s,16634s,17426s,18218s,19010s,19802s,20594s,21387s,22179s,22971s,23763s,24555s,25347s,26139s,26931s,27723s,28515s,29308s,30100s,30892s,31684s,32476s,33268s,34060s,34852s,35644s,36436s,37229s,38021s,38813s,39605s,40397s,41189s,41981s,42773s,43565s,44357s,45149s,45942s,46734s,47526s,48318s,49110s,49902s,50694s,51486s,52278s,53071s,53863s,54655s,55447s,56239s,57031s,57823s,58615s,59407s,60200s,60992s,61784s,62576s,63368s,64160s,64952s,65744s,66536s,67328s,68120s,68913s,69705s,70497s,71289s,72081s,72873s,73665s,74457s,75249s,76041s,76834s,77626s,78418s,79210s,80002s,80794s,81586s,82378s,83170s,83962s,84754s,85547s,86339s
36.7 °C,37.1 °C,37.0 °C,36.9 °C,37.0 °C,37.3 °C,36.9 °C,37.3 °C,36.9 °C,37.2 °C,36.9 °C,37.1 °C,37.0 °C,37.2 °C,36.9 °C,37.0 °C,37.2 °C,36.9 °C,37.3 °C,36.9 °C,36.9 °C,36.9 °C,37.1 °C,37.1 °C,37.2 °C,37.0 °C,36.9 °C,37.2 °C,36.9 °C,36.8 °C,36.8 °C,37.2 °C,37.1 °C,36.9 °C,37.2 °C,37.2 °C,37.3 °C,37.3 °C,36.9 °C,37.3 °C,37.1 °C,37.3 °C,36.9 °C,37.0 °C,36.8 °C,37.0 °C,36.9 °C,37.3 °C,36.9 °C,37.3 °C,37.0 °C,37.1 °C,37.0 °C,37.1 °C,37.1 °C,37.0 °C,37.1 °C,36.8 °C,37.0 °C,37.0 °C,36.9 °C,37.1 °C,37.1 °C,37.1 °C,37.0 °C,37.2 °C,37.1 °C,36.9 °C,37.2 °C,36.9 °C,37.0 °C,37.1 °C,37.1 °C,37.1 °C,37.3 °C,37.1 °C,37.1 °C,36.9 °C,37.1 °C,37.2 °C,37.1 °C,36.8 °C,37.1 °C,37.1 °C,37.1 °C,36.8 °C,37.1 °C,36.9 °C,37.0 °C,37.3 °C,36.9 °C,37.2 °C,37.3 °C,36.9 °C,37.0 °C,36.7 °C,37.2 °C,37.1 °C,37.1 °C,36.8 °C,37.2 °C,36.8 °C,37.0 °C,37.3 °C,37.1 °C,36.9 °C,36.9 °C,37.1 °C,36.9 °C,37.0 °C
0.23798,0.25127,0.24711,0.24744,0.24852,0.25014,0.24233,0.25136,0.24926,0.24013,0.25128,0.23858,0.2464,0.25199,0.24862,0.24812,0.25127,0.2488,0.24887,0.25156,0.25254,0.25213,0.25331,0.25583,0.25661,0.25884,0.26028,0.26428,0.26727,0.26801,0.27298,0.27829,0.27959,0.28231,0.28431,0.28306,0.27993,0.2733,0.26314,0.25582,0.25391,0.25196,0.24998,0.24924,0.24949,0.25048,0.25179,0.25127,0.25097,0.25594,0.25242,0.25252,0.25364,0.25322,0.25289,0.25394,0.25499,0.25372,0.2562,0.25583,0.26111,0.25648,0.2571,0.2576,0.25779,0.25747,0.25817,0.25883,0.26102,0.27012,0.26636,0.26972,0.26961,0.27126,0.26579,0.26436,0.27763,0.27041,0.27329,0.28761,0.29353,0.28479,0.29923,0.30666,0.31569,0.32076,0.33251,0.3418,0.35151,0.36647,0.38299,0.40079,0.41853,0.43563,0.45502,0.46847,0.48271,0.4978,0.51163,0.51532,0.5498,0.56399,0.60162,0.63147,0.65972,0.68567,0.7151,0.7536,0.79003,0.82816
0.2238,0.22752,0.22743,0.22527,0.22186,0.22578,0.22419,0.2309,0.22514,0.22831,0.2244,0.227,0.22456,0.22852,0.22544,0.22939,0.22606,0.22894,0.22816,0.23059,0.22879,0.22889,0.23527,0.23222,0.23449,0.23608,0.23724,0.23929,0.2425,0.24406,0.24691,0.24772,0.25087,0.25436,0.2554,0.25724,0.25534,0.25119,0.24636,0.24,0.23516,0.2272,0.22403,0.22867,0.22929,0.23038,0.22519,0.22433,0.22934,0.23011,0.23241,0.22601,0.22667,0.22667,0.22569,0.22801,0.22677,0.22673,0.22759,0.23066,0.23357,0.23053,0.22852,0.22898,0.23461,0.22828,0.22959,0.23071,0.23851,0.23824,0.23092,0.23899,0.24,0.23977,0.23298,0.23173,0.24312,0.23413,0.23569,0.2495,0.25161,0.24396,0.25538,0.26237,0.25604,0.27144,0.27659,0.28163,0.28893,0.29861,0.29616,0.31971,0.3333,0.346,0.36378,0.38047,0.39719,0.41288,0.42698,0.43044,0.45438,0.45947,0.4865,0.50631,0.53384,0.56462,0.58907,0.61434,0.63729,0.66293
0.21721,0.22714,0.21798,0.22036,0.2159,0.21841,0.21712,0.21677,0.21298,0.21368,0.20858,0.21266,0.21727,0.21756,0.22087,0.22096,0.21809,0.22021,0.2183,0.22317,0.21846,0.22098,0.22212,0.22143,0.22693,0.2244,0.22631,0.22716,0.22906,0.23182,0.2347,0.23676,0.24016,0.24057,0.2434,0.24646,0.24691,0.24668,0.24096,0.23611,0.23204,0.22764,0.2219,0.21787,0.21958,0.21839,0.21976,0.21897,0.22014,0.21978,0.22038,0.2216,0.22074,0.21909,0.22056,0.22113,0.2202,0.2201,0.22109,0.22306,0.22387,0.22479,0.22386,0.2239,0.22374,0.22146,0.22463,0.22371,0.22579,0.22521,0.22201,0.22416,0.22177,0.22323,0.2231,0.22371,0.22201,0.22241,0.22484,0.22517,0.22863,0.22741,0.22803,0.23334,0.23433,0.2375,0.24168,0.24424,0.24851,0.25328,0.25869,0.26448,0.2716,0.28044,0.28854,0.30263,0.31389,0.32841,0.34371,0.36018,0.37534,0.39687,0.40854,0.42246,0.43659,0.45078,0.46834,0.4935,0.51828,0.55359
0.32038,0.32534,0.31911,0.3222,0.32814,0.32531,0.32866,0.32263,0.33513,0.33118,0.33456,0.33103,0.32604,0.33964,0.33771,0.333,0.32854,0.32926,0.33143,0.33004,0.33197,0.33519,0.33374,0.33502,0.33682,0.33757,0.33812,0.33689,0.34334,0.34044,0.34009,0.34288,0.34436,0.34439,0.34383,0.34888,0.34961,0.34947,0.34914,0.34924,0.34811,0.34651,0.34102,0.33764,0.33061,0.32689,0.32356,0.32221,0.32057,0.32197,0.32329,0.32137,0.32246,0.3242,0.32342,0.32321,0.32322,0.32233,0.32523,0.32241,0.3219,0.32334,0.32228,0.32297,0.32298,0.32381,0.32417,0.32323,0.32437,0.32532,0.32541,0.32213,0.32288,0.32276,0.32634,0.32317,0.32359,0.32408,0.32377,0.32502,0.32669,0.32369,0.32427,0.32617,0.32932,0.32812,0.32719,0.32926,0.33094,0.33169,0.33208,0.33571,0.33751,0.33494,0.33832,0.34096,0.34441,0.34922,0.34881,0.35194,0.35824,0.36498,0.37087,0.37531,0.38411,0.3904,0.39709,0.41579,0.42971,0.43538
0.23742,0.2443,0.24323,0.24511,0.24728,0.24676,0.24124,0.24668,0.24668,0.24551,0.25057,0.25141,0.24958,0.25066,0.24988,0.25454,0.2524,0.25463,0.25497,0.25546,0.2568,0.25631,0.25669,0.25711,0.255,0.25729,0.25867,0.25929,0.26213,0.26556,0.26727,0.26557,0.26686,0.26968,0.27277,0.27337,0.27518,0.27718,0.27862,0.27653,0.27373,0.26879,0.26246,0.25732,0.25344,0.2497,0.2495,0.24888,0.24829,0.24976,0.25007,0.24928,0.25176,0.24937,0.25001,0.25359,0.24947,0.24934,0.25269,0.25224,0.25233,0.25061,0.24943,0.25059,0.24933,0.25309,0.24939,0.25188,0.25531,0.25182,0.25432,0.25058,0.24882,0.24889,0.25588,0.25027,0.25127,0.25041,0.2521,0.25161,0.25471,0.25183,0.25288,0.25362,0.25557,0.25552,0.25723,0.25783,0.25968,0.26244,0.26429,0.26713,0.27043,0.27192,0.27554,0.27896,0.28234,0.285,0.28977,0.2955,0.30059,0.3097,0.31893,0.3264,0.33593,0.34727,0.35843,0.37556,0.38966,0.40533
0.2986,0.30274,0.30614,0.30229,0.30778,0.30266,0.30457,0.3055,0.30136,0.30172,0.30279,0.29907,0.29837,0.30551,0.30153,0.29944,0.30413,0.30689,0.30467,0.30333,0.30151,0.3,0.30099,0.30068,0.30392,0.30239,0.30288,0.30257,0.30184,0.30233,0.30476,0.30462,0.30422,0.30437,0.30541,0.3054,0.30631,0.30753,0.30761,0.30788,0.30818,0.30561,0.30421,0.30196,0.29841,0.29474,0.29213,0.29161,0.2911,0.29072,0.29112,0.29083,0.29379,0.29092,0.29203,0.29046,0.29147,0.2903,0.29247,0.28956,0.28994,0.29083,0.28986,0.28982,0.28904,0.28974,0.29131,0.29033,0.29238,0.2911,0.28687,0.29017,0.29076,0.29104,0.29233,0.2912,0.29208,0.29031,0.29176,0.29138,0.29377,0.29046,0.29032,0.291,0.29221,0.29194,0.29278,0.29121,0.29303,0.29368,0.29367,0.29533,0.296,0.29588,0.29668,0.29808,0.29902,0.30049,0.3002,0.3021,0.30491,0.30812,0.31109,0.31347,0.31484,0.31809,0.3205,0.32923,0.33302,0.33844
0.20806,0.20871,0.20842,0.21579,0.21677,0.21012,0.20556,0.21151,0.21068,0.20854,0.209,0.21168,0.21301,0.2143,0.20752,0.20928,0.2096,0.21917,0.21898,0.2172,0.21969,0.21971,0.21124,0.2143,0.21403,0.21492,0.21512,0.21557,0.2156,0.21609,0.2164,0.22346,0.21649,0.21988,0.21963,0.22129,0.22333,0.22339,0.22421,0.22584,0.22867,0.23066,0.23158,0.23357,0.23462,0.2356,0.23479,0.23484,0.23429,0.23126,0.22651,0.21989,0.21549,0.20912,0.20786,0.208,0.20616,0.20489,0.20898,0.20528,0.21788,0.20657,0.20601,0.20696,0.2064,0.21832,0.20742,0.20839,0.20914,0.20883,0.20874,0.20926,0.20871,0.2088,0.21048,0.20989,0.20844,0.20871,0.20856,0.20928,0.21203,0.20707,0.20916,0.21029,0.21,0.21021,0.21011,0.21029,0.21093,0.21186,0.21109,0.21253,0.2136,0.21284,0.21314,0.21334,0.21319,0.21393,0.21404,0.21534,0.21398,0.21644,0.21904,0.21872,0.21872,0.22008,0.22036,0.22528,0.22448,0.22662
0.27811,0.28024,0.2787,0.28019,0.27756,0.2808,0.2831,0.28217,0.27641,0.27628,0.27514,0.27469,0.2795,0.27688,0.27244,0.27289,0.2713,0.28186,0.27964,0.27861,0.27904,0.28066,0.27401,0.27259,0.27257,0.27594,0.2721,0.27263,0.2718,0.2725,0.27419,0.27406,0.27306,0.27666,0.2761,0.27707,0.27751,0.27828,0.27911,0.27983,0.28033,0.28027,0.27998,0.27978,0.28148,0.27978,0.2801,0.2814,0.28208,0.28126,0.28524,0.28308,0.28541,0.28276,0.28468,0.28673,0.28626,0.28477,0.28794,0.2849,0.28709,0.28701,0.28729,0.28982,0.28991,0.2915,0.29006,0.29241,0.29378,0.29411,0.29403,0.29596,0.29604,0.29637,0.30013,0.30109,0.30227,0.30328,0.3076,0.30898,0.31262,0.31333,0.31596,0.31743,0.31947,0.32169,0.3234,0.32537,0.32721,0.32847,0.32739,0.32612,0.32213,0.31399,0.3078,0.29931,0.29213,0.28563,0.28152,0.28109,0.28047,0.28146,0.28229,0.28173,0.28079,0.28097,0.28046,0.28348,0.28211,0.28229
0.25668,0.23752,0.2445,0.24298,0.24497,0.25347,0.24668,0.25437,0.25012,0.24613,0.2479,0.24447,0.24891,0.24786,0.2477,0.2454,0.24403,0.24977,0.25252,0.25169,0.25102,0.2524,0.24529,0.24268,0.24401,0.2419,0.24424,0.2437,0.24441,0.24344,0.2446,0.24691,0.2464,0.24657,0.24782,0.24933,0.24842,0.25112,0.25069,0.24992,0.25162,0.25467,0.25514,0.25524,0.25832,0.25973,0.26017,0.25967,0.2573,0.25751,0.26049,0.25732,0.25394,0.24801,0.24273,0.23957,0.23518,0.23433,0.23491,0.23119,0.23223,0.23279,0.23297,0.23282,0.23454,0.23423,0.23232,0.23471,0.23599,0.23487,0.23461,0.23506,0.23477,0.23577,0.23672,0.23679,0.23707,0.23516,0.23541,0.23627,0.23841,0.23439,0.23651,0.23638,0.23686,0.23653,0.23714,0.23716,0.23809,0.23744,0.23592,0.2378,0.23898,0.23896,0.23777,0.23712,0.23724,0.23792,0.23821,0.23744,0.23816,0.23804,0.24082,0.23956,0.23986,0.23957,0.23811,0.2411,0.24091,0.24036
0.32752,0.31877,0.29894,0.3076,0.31438,0.31022,0.30118,0.31423,0.31313,0.30832,0.30664,0.30603,0.30911,0.30099,0.29603,0.29574,0.29904,0.28962,0.30417,0.29138,0.28882,0.29191,0.28821,0.29093,0.29502,0.29447,0.291,0.28903,0.30236,0.28542,0.28623,0.28577,0.28833,0.28339,0.2844,0.28756,0.287,0.28439,0.28231,0.2829,0.28292,0.28482,0.28333,0.28569,0.28381,0.28474,0.2845,0.28506,0.28427,0.28546,0.28462,0.29453,0.28698,0.2843,0.2845,0.29471,0.28809,0.28702,0.29172,0.2862,0.29028,0.29229,0.29001,0.293,0.29288,0.29334,0.29474,0.2939,0.29643,0.29473,0.29329,0.29248,0.29051,0.28751,0.28406,0.28041,0.27903,0.27661,0.27283,0.27382,0.2758,0.2732,0.27139,0.27396,0.27308,0.2734,0.27387,0.2744,0.27491,0.27372,0.27354,0.27323,0.27359,0.27207,0.2714,0.2677,0.27107,0.27094,0.26967,0.26864,0.26926,0.2702,0.27071,0.26884,0.26953,0.26936,0.26683,0.27097,0.26854,0.27002
